country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",25-03-2025 10:00,24.10897,82.64558,OZONE,3,101,21
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",25-03-2025 10:00,22.431,75.5213,PM10,66,248,122
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",25-03-2025 10:00,22.431,75.5213,OZONE,3,91,34
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",25-03-2025 10:00,22.7084,75.8815,PM2.5,19,160,70
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",25-03-2025 10:00,22.7084,75.8815,SO2,29,68,38
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",25-03-2025 10:00,23.81748678,79.446246,SO2,11,19,17
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",25-03-2025 10:00,19.854616,75.905894,CO,5,21,17
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",25-03-2025 10:00,19.25292,73.142019,PM2.5,52,118,84
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",25-03-2025 10:00,19.192056,72.9585188,SO2,0,0,0
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",25-03-2025 10:00,16.6870449,74.2505872,PM2.5,36,71,49
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",25-03-2025 10:00,16.6870449,74.2505872,NO2,8,14,11
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",25-03-2025 10:00,16.6870449,74.2505872,NH3,2,9,6
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",25-03-2025 10:00,19.0243902,73.0406721,PM2.5,54,180,92
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",25-03-2025 10:00,19.0243902,73.0406721,NH3,7,14,9
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",25-03-2025 10:00,19.309073,73.057223,CO,17,55,41
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",25-03-2025 10:00,19.786089,72.757971,PM2.5,0,0,0
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",25-03-2025 10:00,19.786089,72.757971,CO,0,0,0
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",25-03-2025 10:00,19.9629,79.298714,CO,10,36,14
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",25-03-2025 10:00,19.8389439,75.244448,OZONE,0,0,0
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",25-03-2025 10:00,19.863756,75.321188,NH3,2,4,3
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",25-03-2025 10:00,19.863756,75.321188,SO2,15,49,28
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",25-03-2025 10:00,19.863756,75.321188,CO,5,39,20
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",25-03-2025 10:00,19.863756,75.321188,OZONE,11,127,24
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",25-03-2025 10:00,20.918946,74.776388,PM2.5,52,189,91
